[DEBUG] [2016-01-29 17:36:03][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1579081666', data='-307544694'}
[DEBUG] [2016-01-29 17:36:04][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1474847375', data='-1560406049'}
[DEBUG] [2016-01-29 17:36:04][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-110733490', data='-586821122'}
[DEBUG] [2016-01-29 17:36:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-2048914639', data='-120522503'}
[DEBUG] [2016-01-29 17:36:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1534212555', data='-1289112182'}
[DEBUG] [2016-01-29 17:36:05][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1196765786', data='2097093536'}
[DEBUG] [2016-01-29 17:36:06][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-639902950', data='-962291879'}
[DEBUG] [2016-01-29 17:36:08][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1696299580', data='772880943'}
[DEBUG] [2016-01-29 17:36:08][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1050585301', data='1373348094'}
[DEBUG] [2016-01-29 17:36:09][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1167639347', data='-1706626583'}
[DEBUG] [2016-01-29 17:36:10][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1798839408', data='-1515171434'}
[DEBUG] [2016-01-29 17:36:12][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1332252399', data='-1926827367'}
[DEBUG] [2016-01-29 17:36:14][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-474274546', data='1561694040'}
[DEBUG] [2016-01-29 17:36:15][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='951545375', data='-2016007567'}
[DEBUG] [2016-01-29 17:36:15][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-262783451', data='-537711993'}
[DEBUG] [2016-01-29 17:36:15][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-20978896', data='1051331613'}
[DEBUG] [2016-01-29 17:36:15][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1265210866', data='-324099732'}
[DEBUG] [2016-01-29 17:36:16][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1891990451', data='-1159797970'}
[DEBUG] [2016-01-29 17:36:16][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-371340204', data='-1770271881'}
[DEBUG] [2016-01-29 17:36:18][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='266758837', data='-1706957048'}
[DEBUG] [2016-01-29 17:36:18][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1181230352', data='955398071'}
[DEBUG] [2016-01-29 17:36:18][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='2060412237', data='-1774010626'}
[DEBUG] [2016-01-29 17:36:19][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1400557441', data='-2004982639'}
[DEBUG] [2016-01-29 17:36:21][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1658292392', data='-1512792718'}
[DEBUG] [2016-01-29 17:36:21][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='550154263', data='1634776737'}
[DEBUG] [2016-01-29 17:36:22][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-294927009', data='342881796'}
[DEBUG] [2016-01-29 17:36:23][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-362305763', data='-1403574204'}
[DEBUG] [2016-01-29 17:36:24][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1562336018', data='817213336'}
[DEBUG] [2016-01-29 17:36:25][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-708758660', data='-890698917'}
[DEBUG] [2016-01-29 17:36:25][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1925011230', data='-971588131'}
[DEBUG] [2016-01-29 17:36:27][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1246954082', data='436303474'}
[DEBUG] [2016-01-29 17:36:28][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='457602272', data='1548011304'}
[DEBUG] [2016-01-29 17:36:28][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1967793497', data='-802773828'}
[DEBUG] [2016-01-29 17:36:29][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1120776552', data='329188811'}
[DEBUG] [2016-01-29 17:36:29][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='962916222', data='131489173'}
[DEBUG] [2016-01-29 17:36:31][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1429590286', data='-1031713951'}
[DEBUG] [2016-01-29 17:36:32][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1504274883', data='1699958832'}
[DEBUG] [2016-01-29 17:36:34][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-2002880077', data='-1305868312'}
[DEBUG] [2016-01-29 17:36:34][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-459374759', data='440568243'}
[DEBUG] [2016-01-29 17:36:36][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1170887431', data='-458893585'}
[DEBUG] [2016-01-29 17:36:36][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='2086048534', data='-1463260070'}
[DEBUG] [2016-01-29 17:36:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='200748725', data='1953310613'}
[DEBUG] [2016-01-29 17:36:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1704439372', data='-1677518784'}
[DEBUG] [2016-01-29 17:36:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='96294594', data='509838365'}
[DEBUG] [2016-01-29 17:36:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-891909148', data='-649886765'}
[DEBUG] [2016-01-29 17:36:39][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-161715467', data='1416939918'}
[DEBUG] [2016-01-29 17:36:41][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='532838227', data='-707976976'}
[DEBUG] [2016-01-29 17:36:41][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-956848218', data='207786703'}
[DEBUG] [2016-01-29 17:36:41][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1302259406', data='-1563750475'}
[DEBUG] [2016-01-29 17:36:42][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-406008821', data='-2087948767'}
[DEBUG] [2016-01-29 17:36:44][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1072795352', data='1095526185'}
[DEBUG] [2016-01-29 17:36:45][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='194226354', data='-93135102'}
[DEBUG] [2016-01-29 17:36:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1317510771', data='2044840515'}
[DEBUG] [2016-01-29 17:36:47][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='328644158', data='-503136991'}
[DEBUG] [2016-01-29 17:36:47][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1136540950', data='-195429816'}
[DEBUG] [2016-01-29 17:36:47][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='377708127', data='1484261288'}
[DEBUG] [2016-01-29 17:36:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-87296623', data='-334674842'}
[DEBUG] [2016-01-29 17:36:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='292511838', data='1048943500'}
[DEBUG] [2016-01-29 17:36:49][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1427026540', data='-580532987'}
[DEBUG] [2016-01-29 17:36:51][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-2085281455', data='1850745765'}
[DEBUG] [2016-01-29 17:36:53][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-661351127', data='-118045164'}
[DEBUG] [2016-01-29 17:36:54][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1026278928', data='-2088003646'}
[DEBUG] [2016-01-29 17:36:55][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-314988294', data='-35999369'}
[DEBUG] [2016-01-29 17:36:55][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1515450835', data='-574339701'}
